func_name,module_name
Apply,terraform
ApplyE,terraform
ApplyAndIdempotent,terraform
ApplyAndIdempotentE,terraform
InitAndApply,terraform
InitAndApplyAndIdempotent,terraform
InitAndApplyAndIdempotentE,terraform
InitAndApplyE,terraform
TgApplyAll,terraform
TgApplyAllE,terraform
Destroy,terraform
install,helm
installE,helm
Delete,helm
DeleteE,helm
KubectlApply,k8s
KubectlApplyE,k8s
KubectlApplyFromKustomize,k8s
KubectlApplyFromKustomizeE,k8s
KubectlApplyFromString,k8s
KubectlApplyFromStringE,k8s
KubectlDelete,k8s
KubectlDeleteE,k8s
KubectlDeleteFromKustomize,k8s
KubectlDeleteFromKustomizeE,k8s
KubectlDeleteFromString,k8s
KubectlDeleteFromStringE,k8s
